Time,Avg_Intelligence,Avg_Knowledge,Truth_Adoption,Apparent_Truth,Truth_Distortion,Avg_Suppression,Event_Horizon,Beyond_Horizon,Lifecycle_Intensity,Lifecycle_Phase,Inflation_Multiplier,Is_Inflating,Dark_Energy_Effect,Background_Knowledge
83,24.064483438574506,0.0032771442050102224,119.79159930702947,118.17275041878766,0.36884888824180767,0.1468481705895191,3087.538907420414,True,1.4381533400219317,1,1.2,True,0.004532591416414907,0.12216479214657015
84,25.82184478459544,0.0031132869947597115,121.04159930702947,119.43717342319232,0.35442588383715257,0.13968656460251258,2936.963411790382,True,1.4221639627510074,1,1.2,True,0.00455981443244973,0.11124329664184955
85,27.56862727700087,0.0029576226450217257,122.29159930702947,120.70106318737172,0.34053611965775943,0.13287422107080848,2793.7312920502513,True,1.4045084971874737,1,1.2,True,0.004586875883277814,0.10386025081204432
86,29.302010895265916,0.0028097415127706395,123.54159930702947,121.96443771994859,0.3271615870808824,0.12639410692297046,2657.4844214161694,True,1.3852566213878945,1,1.2,True,0.004613778611812058,0.1003099933958404
87,31.019283064964537,0.0026692544371321072,124.79159930702947,123.22731451752004,0.31428478950942496,0.12023001976728323,2527.882138459409,True,1.3644843137107059,1,1.2,True,0.004640525378557171,0.10073406195293673
88,32.717849148163495,0.002535791715275502,126.04159930702947,124.48971057358047,0.3018887334490056,0.11436654738067349,2404.6003953456643,True,1.3422735529643444,1,1.2,True,0.004667118864915693,0.10511555020818761
89,34.39524233033815,0.002409002129511727,127.29159930702947,125.75164238765994,0.2899569193695365,0.10878902917329636,2287.3309476134696,True,1.3187119948743449,1,1.2,True,0.004693561676325423,0.11327978205144187
90,36.04913287156073,0.0022885520230361404,128.54159930702946,127.01312597464488,0.2784733323845982,0.10348351953243848,2175.780583465927,True,1.2938926261462367,1,1.2,True,0.004719856345238645,0.1249012753228324
91,37.67733669279834,0.0021741244218843334,129.79159930702946,128.27417687424978,0.2674224327796958,0.09843675295408565,2069.6703906487696,True,1.2679133974894985,1,1.2,True,0.004746005333952782,0.1395167177593716
92,39.277823271239996,0.0020654182007901166,131.04159930702946,129.53481016061107,0.2567891464183986,0.09363611087497278,1968.7350590817127,True,1.2408768370508578,1,1.2,True,0.004772011037301468,0.15654343779281066
93,40.848722821645346,0.0019621472907506107,132.29159930702946,130.79504045197606,0.24655885505338457,0.08906959012218749,1872.7222174994556,True,1.2128896457825364,1,1.2,True,0.004797875785214308,0.17530263382633793
94,42.38833274377112,0.0018640399262130803,133.54159930702946,132.05488192046192,0.2367173865675338,0.08472577290143983,1781.3918024437496,True,1.1840622763423392,1,1.2,True,0.00482360184515312,0.19504643591216328
95,43.895123318980325,0.001770837929902426,134.79159930702946,133.31434830186103,0.22725100516842525,0.0805937982489619,1694.5154580287965,True,1.1545084971874737,1,1.2,True,0.004849191424431846,0.21498772096629526
96,45.36774264217179,0.001682296033407305,136.04159930702946,134.57345290547156,0.21814640155790765,0.07666333487565637,1611.875964979238,True,1.1243449435824273,1,1.2,True,0.004874646672426846,0.2343314928819899
97,46.80502077817897,0.0015981812317369397,137.29159930702946,135.83220862393267,0.20939068309679787,0.07292455533559739,1533.2666975131272,True,1.0936906572928624,1,1.2,True,0.004899969682683853,0.25230657651576993
98,48.20597313477434,0.0015182721701500923,138.54159930702946,137.0906279430462,0.200971363983246,0.06936811145429597,1458.4911067119476,True,1.0626666167821524,1,1.2,True,0.004925162494927418,0.26819636200681357
99,49.56980304737351,0.0014423585616425876,139.79159930702946,138.3487229515676,0.19287635546185747,0.06598511095529427,1387.3622290859194,True,1.0313952597646567,1,1.2,True,0.0049502270969783236,0.2813673737507105
100,51.22742870498016,0.0013702406335604582,141.04159930702946,139.60650535095016,0.1850939560792999,0.06276709522664714,1319.7022191058854,True,1.25,2,1.2,True,0.004975165426584046,0.29129452507276277
101,53.300964818651174,0.0013017286018824352,142.29159930702946,140.86398646502863,0.1776128420008256,0.05970601817170048,1255.3419045329429,True,1.5594000000000001,2,1.2,True,0.004999979373167052,0.29758205177669766
102,55.45743038465404,0.0012366421717883134,143.54159930702946,142.12117724962854,0.17042205740091837,0.056794226091287495,1194.1203634340095,True,1.6176,2,1.2,True,0.005024670779495385,0.29997929001426693
103,57.69534087140223,0.0011748100631988976,144.79159930702946,143.37808830208934,0.1635110049401177,0.054024438547040934,1135.8845218257497,True,1.6746,2,1.2,True,0.005049241443279726,0.29839066946186166
104,60.013185537882464,0.0011160695600389526,146.04159930702946,144.63472987069048,0.15686943633897799,0.05138973015797493,1080.4887709408185,True,1.7304,2,1.2,True,0.005073693118700845,0.29287952340772405
105,62.40942970384913,0.001060266082037005,147.29159930702946,145.89111186397037,0.1504874430590954,0.048883513284821524,1027.7946031594986,True,1.785,2,1.2,True,0.00509802751787111,0.28366556385360564
106,64.88251685238514,0.0010072527779351548,148.54159930702946,147.1472438599293,0.14435544710015852,0.0464995215588276,977.6702656964304,True,1.8384,2,1.2,True,0.005122246312233516,0.271116122290598
107,67.43087057617765,0.0009568901390383971,149.79159930702946,148.4031351151084,0.13846419192106693,0.044231794213829265,929.9904311765519,True,1.8906,2,1.2,True,0.005146351133901439,0.25573150535176586
108,69.89456417286041,0.0009090456320864773,151.04159930702946,149.65879457353716,0.13280473349230065,0.0420746611824286,884.6358842765852,True,1.9416,2,1.2,True,0.005170343576942194,0.23812504916549404
109,72.24595547552974,0.0008635933504821532,152.29159930702946,150.91423087554355,0.1273684314859135,0.040022728919009196,841.493223648572,True,1.9913999999999998,2,1.2,True,0.005194225198607215,0.21899866757954378
110,74.48387719446256,0.0008204136829580456,153.54159930702946,152.1694523664207,0.12214694060876573,0.03807086691414305,800.4545783801839,True,2.04,2,1.2,True,0.005217997520511574,0.19911486907095963
111,76.60765162183979,0.0007793929988101433,154.79159930702946,153.42446710494556,0.11713220208389677,0.036214194866671094,761.4173382828609,True,2.0873999999999997,2,1.2,True,0.00524166202976534,0.17926635793932377
112,78.6170416335124,0.0007404233488696361,156.04159930702946,154.6792828717452,0.11231643528427443,0.034448070481383423,724.2838973334218,True,2.1336000000000004,2,1.2,True,0.005265220180059186,0.1602444316878564
113,80.51220555525764,0.0007034021814261543,157.29159930702946,155.93390717750694,0.10769212952253093,0.03276807786178941,688.9614096276684,True,2.1786,2,1.2,True,0.00528867339270646,0.14280743448904362
114,82.2936556243842,0.0006682320723548466,158.54159930702946,157.18834727102976,0.1032520359997138,0.031170016468956396,655.3615572357882,True,2.2224,2,1.2,True,0.00531202305764386,0.1276505243955755
115,83.96221979455494,0.0006348204687371042,159.79159930702946,158.44261014711392,0.09898915991553665,0.029649890618810442,623.4003293791279,True,2.265,2,1.2,True,0.005335270534392684,0.11537795958248294
116,85.5190066477463,0.0006030794453002489,161.04159930702946,159.69670255428736,0.09489675274210839,0.028203899491639067,592.9978123762088,True,2.3064,2,1.2,True,0.005358417152982545,0.10647900848054599
117,86.96537319240005,0.0005729254730352365,162.29159930702946,160.9506310023668,0.09096830466264692,0.02682842762881677,564.0779898327813,True,2.3466,2,1.2,True,0.005381464214839335,0.10130844418793507
118,88.30289534108742,0.0005442791993834746,163.54159930702946,162.2044017698532,0.08719753717624862,0.025520035892991948,536.5685525763354,True,2.3856,2,1.2,True,0.005404412993639098,0.10007240078633724
119,89.53334087443828,0.0005170652394143009,164.79159930702946,163.45802091116008,0.08357839586937725,0.024275452869133136,510.40071785983895,True,2.4234,2,1.2,True,0.005427264736129415,0.10282015542561368
120,90.658644710733,0.0004912119774435859,166.04159930702946,164.7114942636751,0.08010504335436376,0.02309156668493432,485.5090573826627,True,2.46,2,1.2,True,0.005450020662919789,0.10944216379933762
121,91.6808863124472,0.00046665137857140654,167.29159930702946,165.9648274546546,0.0767718523748603,0.021965417230127782,461.83133369868636,True,2.4954,2,1.2,True,0.005472681969242451,0.11967442733060474
122,92.60226907222103,0.00044331880964283623,168.54159930702946,167.21802590795158,0.07357339907787437,0.020894188755250488,439.3083446025556,True,2.5296,2,1.2,True,0.005495249825684925,0.13310901796219785
123,93.42510153123132,0.0004211528691606944,169.79159930702946,168.47109485057774,0.0705044564517168,0.01987520283135829,417.88377510500976,True,2.5626,2,1.2,True,0.005517725378895635,0.1492103409609378
124,94.15178029281091,0.00040009522570265963,171.04159930702946,169.72403931910054,0.06755998792892706,0.01890591165308538,397.50405662716577,True,2.5944000000000003,2,1.2,True,0.005540109752263735,0.16733648738952778
125,94.78477450342211,0.0003800904644175267,172.29159930702946,170.97686416587646,0.06473514115299699,0.017983891668304348,378.11823306170754,True,2.625,2,1.2,True,0.005562404046574334,0.1867648249902227
126,95.32661178177905,0.0003610859411966504,173.54159930702946,172.22957406512197,0.06202524190748859,0.017106837518458987,359.67783336608693,True,2.6544,2,1.2,True,0.005584609340640157,0.20672080725254785
127,95.77986548506411,0.0003430316441368178,174.79159930702946,173.48217351882352,0.05942578820593963,0.016272556274418898,342.1367503691797,True,2.6826,2,1.2,True,0.005606726691910714,0.2264088521384473
128,96.14714320881963,0.0003258800619299769,176.04159930702946,174.7346668624887,0.05693244454076782,0.01547896195344351,325.45112548837795,True,2.7096,2,1.2,True,0.0056287571370599076,0.24504405942753893
129,96.4310764242536,0.00030958605883347806,177.29159930702946,175.98705827074025,0.05454103628921824,0.01472407030354643,309.57923906887015,True,2.7354,2,1.2,True,0.005650701692553024,0.26188350221200396
130,96.63431116339919,0.00029410675589180415,178.54159930702946,177.2393517627552,0.052247544274251795,0.014005993842219238,294.4814060709286,True,2.76,2,1.2,True,0.005672561355193999,0.2762558450479603
131,96.75949966884163,0.00027940141809721394,179.79159930702946,178.4915512075513,0.05004809947813987,0.01332293713711002,280.11987684438475,True,2.7834,2,1.2,True,0.005694337102653754,0.28758810798108914
132,96.8092929305965,0.0002654313471923532,181.04159930702946,179.74366032912303,0.04793897790641377,0.01267319231685687,266.4587427422004,True,2.8056,2,1.2,True,0.00571602989398043,0.2954285094492698
133,96.78633403821411,0.00025215977983273556,182.29159930702946,180.99568271142974,0.045916595599715046,0.012055134800851925,253.4638463371374,True,2.8266,2,1.2,True,0.005737640670092255,0.2994644773877838
134,96.69325228131825,0.00023955179084109878,183.54159930702946,182.24762180323845,0.04397750379100279,0.01146721923725913,241.10269601703848,True,2.8464,2,1.2,True,0.005759170354253768,0.29953511049115594
135,96.53265793658507,0.00022757420129904384,184.79159930702946,183.49948092282395,0.04211838420549769,0.010907975639129434,229.3443847451826,True,2.8649999999999998,2,1.2,True,0.005780619852536079,0.2956375928404503
136,96.30713768365067,0.00021619549123409163,186.04159930702946,184.7512632625288,0.04033604450067651,0.010376005708952411,218.15951278258868,True,2.8824,2,1.2,True,0.005801990054261815,0.2879273061650723
137,96.01925059662075,0.00020538571667238706,187.29159930702946,186.00297189318587,0.03862741384357564,0.009869979342454666,207.52011417904822,True,2.8986,2,1.2,True,0.005823281832435366,0.2767116352635528
