Time,Avg_Intelligence,Avg_Knowledge,Truth_Adoption,Apparent_Truth,Truth_Distortion,Avg_Suppression,Event_Horizon,Beyond_Horizon,Lifecycle_Intensity,Lifecycle_Phase,Inflation_Multiplier,Is_Inflating,Dark_Energy_Effect,Background_Knowledge,Knowledge_Suppression_Ratio,Critical_Transition
42,0.31737412003312715,0.023723668301157227,41.40570963920016,40.34152124380935,1.1499331962180654,1.2301447411313489,100.0,True,0.4597701966252338,0,1.18,True,0.0,0.3951810018564398,0.020339946513961774,False
43,0.4313270000158706,0.021351301471041504,41.325327794556436,40.320245414506,1.0854642246941604,1.1683613879660997,100.0,True,0.46211299798857725,0,1.18,True,0.0,0.38327586757386434,0.0192852657967215,False
44,0.5653042721562125,0.019216171323937353,41.25010759433763,40.299757618005835,1.0255701765506051,1.1103503002685466,100.0,True,0.46431936522180695,0,1.18,True,0.0,0.3684415936602424,0.01827456957321241,False
45,0.7284391307040223,0.017294554191543618,41.179807087056574,40.280220485120694,0.9698871092169337,1.0558400732819702,100.0,True,0.46639724363012514,0,1.18,True,0.0,0.35127415442292464,0.017306404401646738,False
46,0.9192230619231374,0.015565098772389258,41.11415410142329,40.26175549330469,0.9180515937518852,1.0045457289163857,100.0,True,0.46835411582017966,0,1.18,True,0.0,0.33246248638471254,0.0163798994082364,False
47,1.1362739914900342,0.014008588895150331,41.05285479399358,40.24445028047352,0.8697038209497647,0.9561739393956715,100.0,True,0.4701970286455303,0,1.18,True,0.0,0.31276102444593734,0.01549466422915311,False
48,1.3871355589606917,0.012607730005635299,40.995600939574686,40.22836354382375,0.8244912501698342,0.9104288817138098,100.0,True,0.4719326185829331,0,1.18,True,0.0,0.2929596267231151,0.014650670048594033,False
49,1.6731212001127023,0.011346957005071769,40.942076387210314,40.213528280375975,0.7820726591987133,0.8670184740601783,100.0,True,0.4735671356308248,0,1.18,True,0.0,0.2738520870748071,0.013848121757629495,False
50,2.169423095562893,0.010212261304564593,40.8919629540687,40.199953962726326,0.7421224244839841,0.8256607312643742,100.0,True,0.737553232908034,1,1.18,True,0.0,0.2562044906288612,0.01308733013719405,True
51,2.953138602690707,0.009191035174108134,40.84494591252082,40.187628112334814,0.7043348417338904,0.786089972716083,100.0,True,1.0313952597646567,1,1.18,True,0.0,0.24072467388345992,0.012368592713530245,False
52,3.567516112288324,0.008271931656697321,40.8007191359293,40.176517625464825,0.6684282870559928,0.7480626232054803,100.0,True,1.0626666167821521,1,1.18,True,0.0,0.2280340069178266,0.011692090591553338,False
53,3.991125628273694,0.007444738491027589,40.75898990159175,40.1665701173005,0.6341490186287984,0.7113623643543499,100.0,True,1.0936906572928624,1,1.18,True,0.0,0.21864262267264,0.011057806392266653,False
54,4.254799126999172,0.006700264641924832,40.7194833015247,40.157715473137365,0.6012744284543836,0.6758044210220512,100.0,True,1.1243449435824273,1,1.18,True,0.0,0.2129290808358752,0.01046546579363194,False
55,4.357633742755484,0.006030238177732348,40.68194618080801,40.149867728665555,0.5696155728591403,0.6412388021720868,100.0,True,1.1545084971874737,1,1.18,True,0.0,0.21112527707557313,0.009914502529876473,False
56,4.311866542894793,0.005427214359959113,40.646150507026704,40.14292734231048,0.53901883849753,0.6075523577668447,96.185820325813,True,1.184062276342339,1,1.18,True,0.0,0.2133071992451901,0.009404044417315276,False
57,4.206755940658916,0.004884492923963202,40.6118960711959,40.1367838704829,0.5093666365437998,0.5746695606639722,91.13285366502669,True,1.2128896457825364,1,1.18,True,0.0,0.2193918990864385,0.008932916300263738,False
58,4.0560564498528295,0.004396043631566882,40.579012428726315,40.13131901134409,0.48057705985181215,0.5425519733761766,86.20043409959582,True,1.2408768370508576,1,1.18,True,0.0,0.22914080016192506,0.008499654859602563,False
59,3.8173567428580277,0.003956439268410193,40.54736000667771,40.126409944767744,0.4526024839585713,0.5111964119657046,81.38279600642647,True,1.2679133974894983,1,1.18,True,0.0,0.2421692101440907,0.008102529982908937,False
60,3.4988505798794103,0.0035607953415691743,40.516830328780614,40.121932866289846,0.42542714038786233,0.4806318712621421,76.67946179485568,True,1.2938926261462367,1,1.18,True,0.0,0.25796165823857875,0.0077395677586947235,False
